,geo_h3_10,avg,population,lat_x,lon_x,city,Автозапчасти для иномарок,Авторемонт и техобслуживание (СТО),Алкогольные напитки,Аптеки,Банки,Быстрое питание,Доставка готовых блюд,Женская одежда,Кафе,Косметика / Парфюмерия,Ногтевые студии,Овощи / Фрукты,Парикмахерские,Платёжные терминалы,Постаматы,Продуктовые магазины,Пункты выдачи интернет-заказов,Рестораны,Страхование,Супермаркеты,Цветы,Шиномонтаж,lat_y,lon_y
68,8a0bb03406effff,7916.833333333334,358,55.05516702986813,82.97243951205152,Новосибирск,,,,2.0,,1.0,,,,1.0,,1.0,,1.0,2.0,,,,,2.0,,,55.05516702986813,82.97243951205152
69,8a0bb0342107fff,8709.5,420,55.03650878873579,82.97778727450014,Новосибирск,1.0,,1.0,2.0,2.0,1.0,,2.0,,6.0,6.0,2.0,3.0,4.0,4.0,,3.0,,,,,,55.03650878873577,82.97778727450013
70,8a0bb0342107fff,119.33333333333331,420,55.03650878873579,82.97778727450014,Новосибирск,1.0,,1.0,2.0,2.0,1.0,,2.0,,6.0,6.0,2.0,3.0,4.0,4.0,,3.0,,,,,,55.03650878873577,82.97778727450013
71,8a0bb034212ffff,6453.5,208,55.03761775639344,82.9766945412183,Новосибирск,,,1.0,2.0,3.0,7.0,,2.0,3.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,,1.0,,,,55.03761775639344,82.9766945412183
72,8a0bb034289ffff,8479.005555555554,242,55.03546424203499,82.97446987876636,Новосибирск,,,,,3.0,,,,,,,1.0,,2.0,1.0,,,2.0,,5.0,,,55.03546424203499,82.97446987876636
73,8a0bb0344467fff,15651.5,778,55.04170533913442,82.92048323020038,Новосибирск,,,,7.0,2.0,,,,,,,,1.0,2.0,1.0,,1.0,,1.0,,,,55.04170533913442,82.92048323020038
74,8a0bb03444c7fff,1301.3333333333337,387,55.0394256687946,82.92708315681517,Новосибирск,,,,,,,2.0,,2.0,,,,,2.0,4.0,,,,,2.0,,,55.0394256687946,82.92708315681517
75,8a0bb0344797fff,17056.0,845,55.04158013363806,82.92930602812079,Новосибирск,,,,6.0,2.0,,,3.0,,,4.0,,,2.0,2.0,,,1.0,1.0,5.0,,,55.04158013363806,82.92930602812079
76,8a0bb0344b5ffff,49.33333333333333,1810,55.05614610655966,82.90404422682329,Новосибирск,,,,,,,3.0,,,3.0,,,,1.0,2.0,,,,2.0,4.0,,,55.05614610655966,82.90404422682329
77,8a0bb03457affff,3071.833333333333,360,55.0666364981199,82.93502236627945,Новосибирск,,,,4.0,,3.0,3.0,5.0,,5.0,1.0,1.0,,5.0,1.0,,1.0,,,4.0,,1.0,55.0666364981199,82.93502236627945
78,8a0bb03457affff,97.66666666666666,360,55.0666364981199,82.93502236627945,Новосибирск,,,,4.0,,3.0,3.0,5.0,,5.0,1.0,1.0,,5.0,1.0,,1.0,,,4.0,,1.0,55.0666364981199,82.93502236627945
79,8a0bb0345c17fff,13749.861111111111,672,55.06036209925557,82.91511004674526,Новосибирск,,,,8.0,6.0,3.0,,18.0,,1.0,1.0,2.0,2.0,4.0,1.0,,,,,6.0,,,55.06036209925557,82.91511004674526
80,8a0bb03468cffff,1326.0,913,55.032742468355686,82.93585244954397,Новосибирск,,,,,,,,1.0,,2.0,3.0,,,,,2.0,,,3.0,,,,55.032742468355686,82.93585244954397
81,8a0bb0346cb7fff,1915.6666666666667,10,55.01956376328439,82.94015579307612,Новосибирск,,,,,,,,,,,,,2.0,,,,,,,,,,55.01956376328439,82.94015579307612
82,8a0bb034c0e7fff,1670.5,340,55.099980995148464,82.97173387356983,Новосибирск,,,,,,,,,,3.0,,1.0,2.0,1.0,2.0,,,,,2.0,,,55.099980995148464,82.97173387356983
83,8a0bb034c10ffff,7012.0,20,55.09900134337826,82.96399534786414,Новосибирск,,,,,,,,2.0,,2.0,,3.0,3.0,1.0,,,,,,2.0,,,55.09900134337826,82.96399534786414
84,8a0bb03502b7fff,5312.125,399,55.0031354712458,83.01715207476987,Новосибирск,,,,,,,,1.0,,,6.0,,,,,,1.0,,,,,,55.0031354712458,83.01715207476987
85,8a0bb035066ffff,7108.666666666666,1228,55.00306968905672,83.02155836609093,Новосибирск,,,,8.0,1.0,2.0,4.0,13.0,1.0,8.0,,1.0,2.0,4.0,3.0,,2.0,,2.0,5.0,,,55.00306968905673,83.02155836609093
86,8a0bb035066ffff,95.5,1228,55.00306968905672,83.02155836609093,Новосибирск,,,,8.0,1.0,2.0,4.0,13.0,1.0,8.0,,1.0,2.0,4.0,3.0,,2.0,,2.0,5.0,,,55.00306968905673,83.02155836609093
87,8a0bb03512affff,1269.4583333333333,600,55.028156844264,83.02511566839596,Новосибирск,,,,,,,,,,,,,,2.0,,,,,,2.0,,,55.028156844264,83.02511566839596
88,8a0bb0351357fff,94.66666666666666,518,55.03044152852642,83.01852422898202,Новосибирск,,1.0,1.0,2.0,,3.0,3.0,6.0,,1.0,1.0,1.0,3.0,1.0,2.0,,3.0,,,2.0,1.0,,55.03044152852642,83.018524228982
89,8a0bb036989ffff,11786.333333333332,545,55.12835474712978,82.89794515462992,Новосибирск,,,1.0,,,,,,,3.0,1.0,1.0,1.0,1.0,3.0,1.0,,,,,1.0,,55.12835474712978,82.89794515462992
90,8a0bb03704affff,11064.166666666668,200,54.99157946028999,82.9090790622337,Новосибирск,,,,,6.0,,,11.0,1.0,1.0,2.0,,6.0,1.0,,,1.0,,,,,,54.99157946028999,82.9090790622337
91,8a0bb0370587fff,98.0,400,54.98945465853655,82.90465626590009,Новосибирск,,,,7.0,3.0,8.0,2.0,36.0,,4.0,8.0,2.0,7.0,2.0,3.0,1.0,,,,3.0,,,54.98945465853655,82.9046562659001
92,8a0bb03705affff,9726.166666666668,713,54.99056328124987,82.90356264534516,Новосибирск,,,2.0,8.0,,1.0,4.0,9.0,5.0,3.0,,1.0,5.0,1.0,1.0,,,,,2.0,1.0,,54.99056328124987,82.90356264534515
93,8a0bb03712f7fff,6222.270833333332,178,55.030807030419375,82.91819367624203,Новосибирск,,,,,4.0,2.0,,7.0,,,,,,1.0,1.0,,1.0,,,,1.0,,55.030807030419375,82.91819367624203
94,8a0bb037138ffff,16618.5,182,55.02868325876545,82.91376667902712,Новосибирск,,,,4.0,2.0,,1.0,4.0,,,,1.0,2.0,,,,,2.0,,,1.0,,55.02868325876545,82.91376667902712
95,8a0bb0371aeffff,11830.444444444443,554,55.03321009875058,82.9027727971148,Новосибирск,,,1.0,,6.0,,,,,,,,,2.0,2.0,,1.0,,2.0,,,,55.03321009875058,82.9027727971148
96,8a0bb037334ffff,8226.833333333334,630,55.01845499046927,82.94124910347571,Новосибирск,,,,2.0,,,,6.0,,3.0,,,,2.0,1.0,,1.0,,,,,,55.01845499046927,82.94124910347571
97,8a0bb0373627fff,390.25,606,55.00739823507716,82.9499752119746,Новосибирск,,,,,,,,,,,,,,2.0,,,,,,3.0,,,55.00739823507716,82.9499752119746
98,8a0bb037364ffff,7761.5,120,55.01170702635709,82.95441989135111,Новосибирск,,,,,,,,,,,,1.0,,,,,,,,,,,55.01170702635709,82.95441989135112
99,8a0bb0373a2ffff,2081.5,672,55.016457364341925,82.92800491083668,Новосибирск,,,,,,,,,,,,1.0,,4.0,,4.0,1.0,,,3.0,1.0,,55.016457364341925,82.92800491083668
100,8a0bb0374697fff,729.1666666666666,145,54.98979088279352,82.88041933875604,Новосибирск,,,,,,,,,,,,,,,,,,,1.0,,,,54.98979088279352,82.88041933875604
101,8a0bb037606ffff,4063.0,925,54.982000952922775,82.8902808558662,Новосибирск,,,2.0,6.0,2.0,,,,,,,1.0,1.0,,1.0,1.0,1.0,,,2.0,,,54.982000952922775,82.8902808558662
102,8a0bb037606ffff,108.33333333333334,925,54.982000952922775,82.8902808558662,Новосибирск,,,2.0,6.0,2.0,,,,,,,1.0,1.0,,1.0,1.0,1.0,,,2.0,,,54.982000952922775,82.8902808558662
103,8a0bb037694ffff,8878.5,555,54.98116546249646,82.87154754935035,Новосибирск,2.0,,,4.0,3.0,,,,,1.0,1.0,,4.0,2.0,1.0,,,,1.0,,,,54.98116546249646,82.87154754935035
104,8a0bb037694ffff,98.0,555,54.98116546249646,82.87154754935035,Новосибирск,2.0,,,4.0,3.0,,,,,1.0,1.0,,4.0,2.0,1.0,,,,1.0,,,,54.98116546249646,82.87154754935035
105,8a0bb0376a5ffff,11048.583333333334,725,54.98862162068112,82.88592032352554,Новосибирск,1.0,,,,2.0,,,,,3.0,,1.0,2.0,,1.0,,,,,,,,54.98862162068112,82.88592032352554
106,8a0bb03abccffff,7449.700000000001,115,54.839006747650416,83.0956631251106,Новосибирск,,,,,4.0,,,14.0,2.0,2.0,,1.0,,3.0,4.0,,3.0,2.0,1.0,,2.0,,54.839006747650416,83.0956631251106
107,8a0bb03abccffff,6118.000000000001,115,54.839006747650416,83.0956631251106,Новосибирск,,,,,4.0,,,14.0,2.0,2.0,,1.0,,3.0,4.0,,3.0,2.0,1.0,,2.0,,54.839006747650416,83.0956631251106
108,8a0bb03ad787fff,7463.833333333334,298,54.84966694802418,83.04199341647663,Новосибирск,,,,2.0,,,,1.0,,2.0,1.0,,,1.0,2.0,,1.0,,,2.0,1.0,,54.84966694802417,83.04199341647663
109,8a0bb0ada6dffff,261.3333333333333,983,54.98700621263899,82.84404051205784,Новосибирск,,,,2.0,1.0,,,4.0,,5.0,2.0,1.0,2.0,2.0,3.0,,3.0,,1.0,3.0,,,54.98700621263899,82.84404051205784
110,8a0bb0ada857fff,1672.5,662,54.9885839961381,82.80768523120912,Новосибирск,,,,2.0,2.0,,,2.0,,3.0,1.0,2.0,2.0,4.0,,,1.0,,,4.0,,,54.9885839961381,82.80768523120912
111,8a1106008a2ffff,10997.055555555555,1410,59.83504516644076,30.382739912963785,Санкт-Петербург,,,1.0,,,,,,,,1.0,,2.0,,,,1.0,,1.0,,1.0,,59.83504516644076,30.382739912963785
112,8a110600dd87fff,23.33333333333333,537,59.83598547639879,30.35347563183005,Санкт-Петербург,,,1.0,,,2.0,,,,,,1.0,,,,,,,,,,,59.83598547639879,30.353475631830044
113,8a1106029af7fff,7952.5,1520,59.868573232150375,30.31215611006219,Санкт-Петербург,,,,,,1.0,,,,,,,4.0,,,,,,,3.0,,,59.868573232150375,30.31215611006219
114,8a110602c12ffff,7202.333333333334,582,59.8429139718628,30.248088985446685,Санкт-Петербург,,,,,1.0,3.0,,4.0,,1.0,,2.0,,5.0,5.0,,1.0,,,,,,59.842913971862814,30.248088985446667
115,8a110602c177fff,7569.416666666668,540,59.84369542488443,30.24964357055791,Санкт-Петербург,,,,,3.0,,,,,,,,,,,,,,1.0,,,,59.843695424884416,30.24964357055793
116,8a110602c24ffff,15638.77777777778,295,59.85083598484589,30.26903286280581,Санкт-Петербург,,,1.0,4.0,5.0,4.0,,8.0,3.0,2.0,1.0,,3.0,4.0,1.0,,,,1.0,,1.0,,59.8508359848459,30.2690328628058
117,8a110602c997fff,69.33333333333333,482,59.84046086108,30.238034724747035,Санкт-Петербург,,,,6.0,,,,,,2.0,,,2.0,4.0,1.0,2.0,1.0,,1.0,2.0,1.0,,59.84046086108002,30.23803472474705
118,8a1106043987fff,12241.0,612,59.91956568721631,30.466187158876263,Санкт-Петербург,,,,2.0,,,,9.0,,,,,,3.0,1.0,,2.0,,,,1.0,,59.91956568721631,30.466187158876263
119,8a1106043987fff,158.33333333333331,612,59.91956568721631,30.466187158876263,Санкт-Петербург,,,,2.0,,,,9.0,,,,,,3.0,1.0,,2.0,,,,1.0,,59.91956568721631,30.466187158876263
120,8a1106043c6ffff,583.1666666666666,1365,59.91820841149869,30.47388513984481,Санкт-Петербург,,,,,5.0,,,,,,,,,1.0,,,,,1.0,,,,59.91820841149869,30.47388513984481
121,8a1106045db7fff,15518.0,329,59.92827076556137,30.410735452134496,Санкт-Петербург,,,,2.0,5.0,,,,1.0,,,,2.0,3.0,,,,,,,1.0,,59.92827076556137,30.41073545213449
122,8a110604c457fff,8024.0,1165,59.95039314228214,30.48901394148614,Санкт-Петербург,,,,,,,,,,,,,2.0,1.0,,1.0,,,,,,,59.95039314228214,30.48901394148614
123,8a110604c457fff,71.83333333333333,1165,59.95039314228214,30.48901394148614,Санкт-Петербург,,,,,,,,,,,,,2.0,1.0,,1.0,,,,,,,59.95039314228214,30.48901394148614
124,8a110604cc1ffff,100.83333333333331,1010,59.950868335633295,30.47432052393741,Санкт-Петербург,,,,2.0,,,,12.0,,2.0,,,,,,,5.0,,,2.0,,,59.950868335633295,30.47432052393741
125,8a1106050167fff,196.0,1308,59.867231412192766,30.457550082544696,Санкт-Петербург,,,,,,1.0,,,,,,1.0,,,,1.0,1.0,,1.0,,,,59.867231412192766,30.45755008254469
126,8a110605c90ffff,15662.388888888885,941,59.904876746606696,30.483598311969008,Санкт-Петербург,,,,2.0,1.0,4.0,,,,,,,,2.0,1.0,,1.0,,,2.0,,,59.904876746606696,30.483598311969
127,8a110606026ffff,1070.0,314,59.94498850961982,30.36357576929437,Санкт-Петербург,,,,,,,,,4.0,,,,3.0,1.0,,,,,3.0,2.0,1.0,,59.94498850961982,30.36357576929437
128,8a110606035ffff,91.5,422,59.943426614387015,30.36044949283693,Санкт-Петербург,,,2.0,6.0,,,,1.0,4.0,,,,,1.0,,,,3.0,,,,,59.943426614387015,30.360449492836928
