,geo_h3_10,avg,population,Автозапчасти для иномарок,Авторемонт и техобслуживание (СТО),Алкогольные напитки,Аптеки,Банки,Быстрое питание,Доставка готовых блюд,Женская одежда,Кафе,Косметика / Парфюмерия,Ногтевые студии,Овощи / Фрукты,Парикмахерские,Платёжные терминалы,Постаматы,Продуктовые магазины,Пункты выдачи интернет-заказов,Рестораны,Страхование,Супермаркеты,Цветы,Шиномонтаж
21,8a10dc924b8ffff,15842.0,,2.0,,,2.0,,7.0,4.0,36.0,2.0,7.0,1.0,,,5.0,1.0,,,,1.0,4.0,,
22,8a10dc93006ffff,2604.4166666666665,,,,,,,,,,1.0,,,,,,1.0,,,,,,,
23,8a10dc934387fff,20212.833333333336,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,
24,8a10dc934a47fff,12691.666666666664,,,,,,,8.0,2.0,57.0,5.0,7.0,,1.0,,6.0,,,2.0,,,2.0,,
25,8a10dc934d07fff,17944.333333333332,998.0,,,,,,,2.0,5.0,,2.0,,1.0,,1.0,1.0,,1.0,,,2.0,,
26,8a10dc935b47fff,8268.166666666666,,,,,,,,,,,,,,,1.0,1.0,,,,,,,
27,8a101608171ffff,12864.5,,,,,,,,,,,,,,,,1.0,,,,,,,
28,8a101608536ffff,5272.0,,,3.0,,,,,,,,,,,,,,,,,,,,
29,8a1016088367fff,7754.333333333334,,,,,,,,,22.0,,6.0,,,,3.0,,,,,,,,
30,8a10160884a7fff,5644.666666666666,10.0,,,,4.0,1.0,3.0,2.0,90.0,,7.0,,,2.0,7.0,3.0,,1.0,,,,,
31,8a101608878ffff,5609.5,427.0,,,,,,,,9.0,,,1.0,,,,,,1.0,5.0,,,,
32,8a101608c327fff,5557.833333333333,847.0,2.0,,1.0,2.0,1.0,3.0,3.0,,2.0,1.0,,1.0,2.0,5.0,5.0,,5.0,,3.0,2.0,,
33,8a101608dc9ffff,9339.666666666666,173.0,,,,,2.0,,,,,1.0,,,,3.0,,1.0,,,1.0,3.0,2.0,
34,8a101608e06ffff,5303.0,,,,1.0,2.0,,,,25.0,1.0,1.0,1.0,,,4.0,4.0,,,,,,,
35,8a101608ead7fff,3927.0,269.0,,,,,,,,5.0,,1.0,,,,,,,,,1.0,,,
36,8a1016091167fff,11849.833333333334,,,,1.0,4.0,,2.0,2.0,28.0,1.0,5.0,,,,8.0,3.0,,1.0,,,3.0,1.0,
37,8a1016092b1ffff,9932.833333333332,259.0,,,,2.0,1.0,,,,,2.0,,,,3.0,1.0,,,,1.0,3.0,1.0,
38,8a101609562ffff,13906.5,,,,,2.0,,,,,,,,,2.0,3.0,1.0,,2.0,,1.0,,,
39,8a101609a38ffff,2623.0,,,,,,,,,,,4.0,,,,,1.0,,,,1.0,,,
40,8a101609d207fff,7166.5,,,,,,,,,3.0,,1.0,,,,1.0,,,,,,,,
41,8a101609dcdffff,8473.0,,,,2.0,4.0,,2.0,8.0,51.0,1.0,8.0,,,,7.0,5.0,,2.0,,,3.0,1.0,
42,8a10160a2c67fff,1769.0,,,,,,,,,,,,,,,,,,,,,,,
43,8a10160aaa27fff,7134.166666666666,,,,,4.0,1.0,,3.0,46.0,,7.0,2.0,,,3.0,,,1.0,2.0,,4.0,,
44,8a10160ac077fff,8881.666666666668,274.0,,,,2.0,,,,7.0,,1.0,,1.0,,2.0,2.0,,,,,4.0,,
45,8a101646992ffff,2669.4,524.0,,,,,4.0,4.0,,21.0,,3.0,1.0,,,11.0,5.0,,1.0,,,4.0,1.0,
46,8a101646d61ffff,12911.0,859.0,2.0,,,,1.0,,,,,,1.0,,1.0,3.0,1.0,,,,1.0,3.0,1.0,2.0
47,8a1016720477fff,10703.333333333334,288.0,,,,4.0,,2.0,,,,3.0,,2.0,,,2.0,,,,,,1.0,
48,8a101672078ffff,7296.666666666666,,,,1.0,2.0,,1.0,,9.0,2.0,2.0,,1.0,2.0,1.0,2.0,3.0,1.0,,,,,
49,8a101672171ffff,4262.333333333334,,,,,2.0,2.0,5.0,,5.0,2.0,3.0,3.0,,,4.0,6.0,,,,1.0,2.0,,
50,8a101672309ffff,6644.166666666668,,,,,4.0,,,,,,3.0,,1.0,2.0,,5.0,,,,,2.0,,1.0
51,8a10167234d7fff,14742.0,,,,,2.0,,,,12.0,,5.0,2.0,,,4.0,4.0,,1.0,,,4.0,2.0,
52,8a1016723ae7fff,10135.333333333332,,,,,,,,,44.0,,1.0,,1.0,,,,,,2.0,,,,
53,8a10167248f7fff,11828.666666666668,,,,,,,2.0,,49.0,,4.0,1.0,,1.0,1.0,3.0,,,,,,,
54,8a0bb020416ffff,9287.533333333333,210.0,,,1.0,4.0,,1.0,,3.0,,2.0,1.0,3.0,6.0,3.0,4.0,,1.0,,2.0,,,
55,8a0bb0221297fff,5235.658333333333,,,,,,,,,,,,,,,,,,,,,,,
56,8a0bb022221ffff,7163.666666666668,,,,,2.0,,,,,,,,1.0,1.0,2.0,1.0,,,,,5.0,,
57,8a0bb02361a7fff,7372.300000000001,460.0,,,,4.0,,1.0,,,,,2.0,1.0,,1.0,2.0,,,,,3.0,1.0,
58,8a0bb023652ffff,12219.266666666666,,,,,,,3.0,,13.0,,,,,1.0,4.0,3.0,,,,,4.0,1.0,
59,8a0bb02368f7fff,12056.333333333334,720.0,,,,,,2.0,,7.0,,,,1.0,,2.0,3.0,,1.0,,,4.0,1.0,
60,8a0bb03095b7fff,16632.5,,,,,2.0,,2.0,,4.0,,4.0,,,4.0,7.0,2.0,,,,,3.0,,
61,8a0bb030c54ffff,13597.5,825.0,,,1.0,2.0,,,,,,3.0,,,4.0,2.0,,,,,,4.0,,
62,8a0bb030c76ffff,1341.1666666666667,,,,,,,,,,,,,,,,,,,,,,,
63,8a0bb030cb97fff,9853.166666666668,,,2.0,,2.0,,3.0,,,,,,1.0,,,,,,,,,,
64,8a0bb030d647fff,17300.166666666668,,,,,,,,,,,,,,,5.0,,,,,,,,
65,8a0bb031e997fff,12464.166666666668,546.0,,,,2.0,,2.0,,,,2.0,,,2.0,2.0,1.0,,,,,3.0,1.0,
66,8a0bb032956ffff,7955.644444444443,,,,,4.0,,4.0,,12.0,,4.0,1.0,,3.0,6.0,4.0,,2.0,,,,1.0,
67,8a0bb032a2effff,6693.133333333333,1100.0,,,3.0,2.0,,,,,,,,,2.0,1.0,,,,,,3.0,1.0,
68,8a0bb034046ffff,7725.6,,,,,2.0,1.0,2.0,,,,3.0,,,,,,,,,,,1.0,
69,8a0bb0340537fff,15070.083333333334,140.0,,,1.0,2.0,2.0,3.0,,7.0,,9.0,4.0,2.0,,6.0,4.0,,2.0,,1.0,2.0,,
70,8a0bb03406effff,7916.833333333334,358.0,,,,2.0,,1.0,,,,1.0,,1.0,,1.0,2.0,,,,,2.0,,
71,8a0bb0342107fff,8709.5,420.0,1.0,,1.0,2.0,2.0,1.0,,2.0,,6.0,6.0,2.0,3.0,4.0,4.0,,3.0,,,,,
72,8a0bb034212ffff,6453.5,208.0,,,1.0,2.0,3.0,7.0,,2.0,3.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,,1.0,,,
73,8a0bb0342687fff,8697.15,,,,1.0,2.0,,,,,,2.0,,,1.0,5.0,5.0,,2.0,,,2.0,,
74,8a0bb034444ffff,1655.0,,,,,2.0,,21.0,3.0,16.0,6.0,8.0,8.0,,,2.0,5.0,,2.0,1.0,,,,
75,8a0bb0344737fff,15737.333333333334,,,,,2.0,,2.0,,60.0,,9.0,1.0,,2.0,4.0,,,,,,,,
76,8a0bb0344acffff,9467.166666666666,,,,,2.0,,7.0,1.0,19.0,7.0,9.0,1.0,,,4.0,,,,,,,,
77,8a0bb03457affff,3071.833333333333,360.0,,,,4.0,,3.0,3.0,5.0,,5.0,1.0,1.0,,5.0,1.0,,1.0,,,4.0,,1.0
78,8a0bb03462dffff,13292.75,,,,,,,7.0,3.0,13.0,3.0,2.0,,,1.0,3.0,,,,,,,,
79,8a0bb034c10ffff,7012.0,20.0,,,,,,,,2.0,,2.0,,3.0,3.0,1.0,,,,,,2.0,,
80,8a0bb034c35ffff,11308.166666666666,360.0,,,,,,,,,,,,,,,,,,,,,,
81,8a0bb03502b7fff,5312.125,399.0,,,,,,,,1.0,,,6.0,,,,,,1.0,,,,,
82,8a0bb035066ffff,7108.666666666666,1228.0,,,,8.0,1.0,2.0,4.0,13.0,1.0,8.0,,1.0,2.0,4.0,3.0,,2.0,,2.0,5.0,,
83,8a0bb0354067fff,12635.833333333332,,,,,2.0,,,2.0,,,,,,,1.0,,,,,1.0,,,
84,8a0bb036989ffff,11786.333333333332,545.0,,,1.0,,,,,,,3.0,1.0,1.0,1.0,1.0,3.0,1.0,,,,,1.0,
85,8a0bb036b097fff,17069.833333333332,398.0,,,,,,,,,,,,,,,,,,,,,,
86,8a0bb03705affff,9726.166666666668,713.0,,,2.0,8.0,,1.0,4.0,9.0,5.0,3.0,,1.0,5.0,1.0,1.0,,,,,2.0,1.0,
87,8a0bb037129ffff,19655.83333333333,,,,,,,,,1.0,,,,,,,1.0,,,1.0,,,1.0,
88,8a0bb0371a4ffff,10518.833333333334,,,,,2.0,1.0,4.0,,,,3.0,5.0,,5.0,1.0,,,,5.0,,2.0,1.0,
89,8a0bb0372847fff,7359.333333333334,,,,,2.0,,,1.0,4.0,,2.0,1.0,,2.0,2.0,4.0,,,,,3.0,,
90,8a0bb037334ffff,8226.833333333334,630.0,,,,2.0,,,,6.0,,3.0,,,,2.0,1.0,,1.0,,,,,
91,8a0bb037364ffff,7761.5,120.0,,,,,,,,,,,,1.0,,,,,,,,,,
92,8a0bb03748f7fff,8187.833333333332,,,,,2.0,,,,,,,,,,,,,,,1.0,,,
93,8a0bb0374b9ffff,9955.5,,,,,2.0,2.0,1.0,,1.0,1.0,,,,2.0,1.0,1.0,,,,,,,
94,8a0bb037606ffff,4063.0,925.0,,,2.0,6.0,2.0,,,,,,,1.0,1.0,,1.0,1.0,1.0,,,2.0,,
95,8a0bb0376397fff,8748.0,,,,,2.0,,3.0,,15.0,,2.0,1.0,,,5.0,3.0,,,7.0,,4.0,,
96,8a0bb037694ffff,8878.5,555.0,2.0,,,4.0,3.0,,,,,1.0,1.0,,4.0,2.0,1.0,,,,1.0,,,
97,8a0bb03a835ffff,2396.833333333333,,,,,2.0,,2.0,,7.0,,4.0,,,1.0,1.0,2.0,,1.0,,1.0,,,
98,8a0bb03abccffff,7449.700000000001,115.0,,,,,4.0,,,14.0,2.0,2.0,,1.0,,3.0,4.0,,3.0,2.0,1.0,,2.0,
99,8a0bb03ad787fff,7463.833333333334,298.0,,,,2.0,,,,1.0,,2.0,1.0,,,1.0,2.0,,1.0,,,2.0,1.0,
100,8a0bb0ada857fff,1672.5,662.0,,,,2.0,2.0,,,2.0,,3.0,1.0,2.0,2.0,4.0,,,1.0,,,4.0,,
101,8a1106000b27fff,1018.8,,,,,,,,,,,,,,,2.0,,,,,,,,
102,8a110600198ffff,3221.833333333334,,,,,,,,,,,,,,,,,,,1.0,,,,
103,8a1106001b67fff,10210.0,,,,,,,,,,,,,,,,,,,,,,1.0,
104,8a110600816ffff,10094.083333333332,,,,,2.0,,4.0,,,,,,,,3.0,1.0,,,,1.0,,,
105,8a11060088cffff,13246.833333333332,,,,,2.0,,1.0,,44.0,,9.0,,,,6.0,,,1.0,,,2.0,1.0,
106,8a1106009bb7fff,10508.333333333332,,,,,,,,,,,,,,,,,,,,,,,
107,8a110600b84ffff,11826.833333333332,,,,,,,,,,,,,,,,,,,,,,,
108,8a110600ca17fff,17867.833333333332,,3.0,,,,,,,9.0,,3.0,,,2.0,,,,,2.0,,,,
109,8a110600cb37fff,6813.333333333332,,,,,2.0,,,,,,,2.0,,,2.0,1.0,,1.0,,,2.0,,
110,8a110600e067fff,7593.0,,,,2.0,2.0,,6.0,,4.0,,2.0,,2.0,2.0,1.0,,1.0,,,,,3.0,
111,8a110602369ffff,10826.833333333334,,,,,,,,,,,2.0,,,,,,,,,,,,
112,8a1106024957fff,14892.0,,,,,,,,,,,,,,,,,,,,,,,
113,8a1106029af7fff,7952.5,1520.0,,,,,,1.0,,,,,,,4.0,,,,,,,3.0,,
114,8a110602a3a7fff,17147.666666666668,,,,,2.0,,3.0,,,,,,,,3.0,1.0,,,,1.0,,1.0,
115,8a110602c0c7fff,2302.6666666666665,420.0,,,,,,,,,,,,,,,,,,,,,,
116,8a110602c12ffff,7202.333333333334,582.0,,,,,1.0,3.0,,4.0,,1.0,,2.0,,5.0,5.0,,1.0,,,,,
117,8a11060404affff,15102.5,,,,,2.0,1.0,2.0,,,,,,,1.0,5.0,,,,,,,,
118,8a110604126ffff,8184.916666666668,,,,,,,,,,,,,,,,,,,,,,,
119,8a110604134ffff,7322.083333333334,,,,,,,,,6.0,,1.0,,,,,,,,,1.0,,,
120,8a1106043507fff,5142.833333333333,,,,,2.0,,1.0,,1.0,,,,,,2.0,,,1.0,,1.0,,1.0,
121,8a110604359ffff,14020.0,,,,,,,6.0,,5.0,1.0,1.0,,,,,,,,,,,,
122,8a1106043987fff,12241.0,612.0,,,,2.0,,,,9.0,,,,,,3.0,1.0,,2.0,,,,1.0,
123,8a1106045477fff,7419.666666666668,,,,,,,,,,,,,,,,,,,,,,,
124,8a110604578ffff,16250.833333333332,,,,1.0,4.0,,10.0,2.0,20.0,1.0,5.0,,,1.0,8.0,,3.0,,,1.0,,1.0,
125,8a11060458cffff,9910.0,,,,1.0,,,,,32.0,,,,,,2.0,,,,,,,,
126,8a110604c457fff,8024.0,1165.0,,,,,,,,,,,,,2.0,1.0,,1.0,,,,,,
127,8a110604eccffff,11475.833333333334,,,,,,,,,,,,,,,,,,,,,,,
128,8a1106050777fff,10527.333333333332,,,,,,,,,,,,,,,,,,,,,,,
129,8a110605255ffff,11086.333333333334,,,,,,,,,,,,,,,,,,,,1.0,,,1.0
130,8a110605569ffff,3278.833333333334,,,,,,,,,,,,,,,,,,,,,,,
131,8a110606046ffff,6271.666666666666,51.0,,,,2.0,,2.0,,,2.0,,1.0,,,,1.0,,1.0,10.0,,6.0,2.0,
132,8a11060604dffff,13377.166666666668,,,,,,,27.0,4.0,72.0,17.0,7.0,,,2.0,,,,,7.0,,,,
133,8a110606052ffff,17181.166666666668,136.0,,,,4.0,1.0,3.0,,26.0,4.0,3.0,6.0,,3.0,1.0,2.0,,,,1.0,3.0,,
134,8a1106060717fff,17026.0,101.0,,,1.0,2.0,2.0,4.0,1.0,20.0,1.0,3.0,,,,1.0,1.0,,1.0,,,,1.0,
135,8a11060622effff,10330.0,84.0,,,,2.0,1.0,2.0,,,3.0,,,,,1.0,,,,,,,,
136,8a1106062ab7fff,3114.166666666667,,,,,,,,,,,,,,,,,,,,,,,
137,8a11060644d7fff,10894.5,,,,1.0,,2.0,7.0,,8.0,3.0,8.0,1.0,,2.0,5.0,3.0,,1.0,3.0,1.0,2.0,1.0,
138,8a110606595ffff,3407.833333333334,,,,,,,3.0,,,2.0,,,,2.0,,,,,2.0,,,,
139,8a1106066307fff,9489.833333333332,201.0,,,,2.0,4.0,1.0,,,3.0,,2.0,,2.0,1.0,,,,,1.0,,,
140,8a11060666c7fff,11365.333333333334,,,,,4.0,,15.0,1.0,12.0,,1.0,,,1.0,4.0,,2.0,,,,,1.0,
141,8a1106066c2ffff,13852.666666666664,,,,,,,,,,,,,,,,,,,,,,,
142,8a1106068937fff,8294.133333333333,108.0,,,,2.0,,2.0,,,1.0,,,,,2.0,1.0,,,,1.0,2.0,,
143,8a1106069c5ffff,7182.5,,,,,,,,,,,,,,,,,,,,,,,
144,8a110606ab97fff,11528.666666666666,,,,,,,,,,,,,,,,,,,,,,,
145,8a110606c32ffff,7915.5,450.0,,,1.0,4.0,,,,,,,,,2.0,1.0,1.0,1.0,,3.0,,2.0,1.0,
146,8a110606e317fff,10415.0,,,,,,1.0,,,,,1.0,,,,3.0,1.0,,1.0,,1.0,2.0,,
147,8a1106070057fff,8671.833333333334,,,,,,,11.0,,10.0,,1.0,,,,,,,,,,2.0,,
148,8a1106070c57fff,12667.0,,,,,,,,2.0,9.0,,1.0,,,,,,,,3.0,,,,
149,8a110607265ffff,14250.0,,,,,,2.0,,,,,2.0,1.0,,,4.0,1.0,,1.0,,,3.0,1.0,
150,8a1106072b17fff,10123.166666666664,,,,,,3.0,5.0,,5.0,,,,,,4.0,1.0,,,,1.0,,,
151,8a1106074837fff,6651.416666666666,,,,,2.0,,,3.0,,,,,,,3.0,,,,,1.0,,1.0,
152,8a1106076437fff,10916.333333333332,1117.0,,,,,,,,11.0,,1.0,1.0,,,,1.0,,1.0,,,,1.0,1.0
153,8a110607659ffff,14534.666666666668,,,2.0,,2.0,1.0,5.0,,5.0,,3.0,,,,4.0,,,,,1.0,,1.0,
154,8a11060e1317fff,15761.0,,,,,,3.0,2.0,,21.0,,2.0,2.0,,,6.0,4.0,,,,,,,
155,8a11060e132ffff,3554.833333333333,1922.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,
156,8a110610b287fff,10073.5,,,2.0,,,,,,,,,,,,,,,,,,,,
157,8a11061488effff,10777.833333333334,,,,,,,,,,,,,,,1.0,,,1.0,,,,,3.0
158,8a110614a207fff,4081.5,,,,1.0,,,21.0,6.0,,12.0,1.0,,,,,,,,2.0,,,1.0,
159,8a110614aae7fff,6366.0,190.0,,,2.0,2.0,4.0,8.0,,7.0,1.0,2.0,,,,6.0,,,2.0,,,4.0,,
160,8a110614b35ffff,3274.883333333333,329.0,,,2.0,2.0,1.0,,,12.0,3.0,4.0,,,,1.0,1.0,,,6.0,1.0,4.0,1.0,
161,8a110614bb8ffff,16228.166666666664,92.0,,,,,,1.0,,1.0,,2.0,1.0,,,,,,1.0,2.0,,2.0,1.0,
162,8a110614bb9ffff,7999.666666666666,21.0,,,,2.0,,6.0,,,3.0,1.0,,,1.0,2.0,2.0,1.0,1.0,,,2.0,1.0,
163,8a110614c077fff,8762.833333333334,,,,,2.0,,,,,,,,,,,,,,,,2.0,,
164,8a110614c607fff,10450.833333333334,,,,,,1.0,2.0,,1.0,,,,1.0,,3.0,1.0,,,,1.0,,,
165,8a110614eb87fff,14512.166666666668,414.0,,,,,,4.0,,,,,,,,,,,,,,2.0,,
166,8a110615088ffff,5341.0,,,,,,,1.0,,,,,,,,2.0,,,,,,2.0,,
167,8a1106152c17fff,13222.166666666668,748.0,,,,,,1.0,,11.0,,3.0,,,3.0,3.0,4.0,,,,1.0,,,
168,8a1106153137fff,9451.083333333334,,,,,,,2.0,,,,,,,,,,,,,,,,
169,8a110615362ffff,5927.0,,,,,2.0,2.0,5.0,2.0,27.0,,3.0,,,2.0,5.0,2.0,,,3.0,,3.0,,
170,8a1106153d07fff,13351.5,,,,,,,,,,,,,,2.0,,,,,,,,,
171,8a1106154c2ffff,4762.666666666666,,,,,2.0,,,1.0,,,,,,,1.0,,,1.0,2.0,,2.0,,1.0
172,8a1106154db7fff,21314.33333333333,,,,,2.0,,3.0,,21.0,,9.0,,1.0,,4.0,,,,3.0,,,,
173,8a1106156067fff,14243.333333333332,,,,,,,1.0,,1.0,,,,,,4.0,,,,,,,1.0,
174,8a110615814ffff,12770.833333333332,,,,,2.0,,5.0,,2.0,,2.0,,,1.0,1.0,,,1.0,,1.0,2.0,,
175,8a11061594affff,3248.5,,,,,,1.0,6.0,,,,,,,,,,,,,,,,
176,8a110615bb27fff,11523.966666666667,,,,,,,,,,,,,,,,,,,,,,,
177,8a110615e76ffff,7672.0,,,,,,,6.0,,40.0,,3.0,,,,4.0,1.0,,,,,,,
178,8a11061767a7fff,12160.0,,,,,2.0,,,,,,,,,1.0,2.0,2.0,,,,,,,
179,8a1106a80077fff,3050.0,,,,,,,,,,,,,,,,,,,,,,,
180,8a1106a804e7fff,12161.166666666668,,,,,2.0,1.0,6.0,,,,1.0,,,,4.0,,,,,1.0,,1.0,
181,8a1106a807b7fff,4656.5,,,,,,1.0,5.0,,,,1.0,,,,1.0,1.0,1.0,1.0,8.0,2.0,,,
182,8a1106a80a07fff,7552.333333333334,2332.0,,,1.0,5.0,,,2.0,12.0,,1.0,4.0,,,1.0,1.0,,1.0,4.0,1.0,2.0,,
183,8a1106a80b6ffff,4429.666666666667,,,,,,,,,,,,,,,,,,,,,,,
184,8a1106a811affff,14108.833333333332,,,,,,,,,,,,,,,,,,,,,,,
185,8a1106a815b7fff,9723.208333333334,,,,1.0,,1.0,,,43.0,,3.0,,1.0,,1.0,,2.0,,,,2.0,,
186,8a1106a83057fff,13836.5,,,,,2.0,,,,,1.0,,,,,2.0,1.0,1.0,,,,2.0,,1.0
187,8a1106a86197fff,12322.833333333332,,,,,2.0,,,,,,,,,,2.0,,,,,,,,
188,8a1106a906dffff,8819.333333333334,,,,1.0,,1.0,,,36.0,,1.0,,,,4.0,2.0,,,,,,1.0,
189,8a1106a9391ffff,12522.5,,,,,2.0,,4.0,2.0,,,1.0,,,,3.0,,,,,,3.0,1.0,
190,8a1106a95d77fff,10202.25,,,,,2.0,,3.0,,,,,,,,3.0,,,,,,,2.0,
191,8a1106a98a47fff,20679.166666666668,,,,,2.0,,,,,,,,,,,,,,,,,,
192,8a1106a9a30ffff,8979.666666666666,,,,,,,,,,,,,,,,,,,,,,,1.0
193,8a1106a9b81ffff,4403.333333333334,,,,,,1.0,,,,,,,,,2.0,,,,,1.0,,,
194,8a1106a9c447fff,9703.333333333334,264.0,,,,2.0,1.0,2.0,1.0,3.0,1.0,2.0,,1.0,2.0,4.0,4.0,2.0,1.0,,3.0,2.0,1.0,
195,8a1106a9cb8ffff,12377.333333333336,,,,1.0,2.0,,6.0,2.0,10.0,2.0,3.0,,,,3.0,1.0,,,3.0,,2.0,,
196,8a1106a9d56ffff,14902.0,,,,,,,,,4.0,,,,,,3.0,,,,,,2.0,,
197,8a1106a9e397fff,9874.333333333334,,,,1.0,,,6.0,,42.0,,6.0,,,2.0,2.0,,,1.0,,,,,
198,8a1106a9eb87fff,8592.583333333334,,,,,,,,,,2.0,,,,,,,,,,,,,
199,8a1106aa254ffff,18515.33333333333,,,,,2.0,,,,,,,,,,3.0,2.0,,,,,,1.0,
200,8a1106ab0c77fff,12457.25,,,,,2.0,,6.0,,,,1.0,,,,5.0,,,,,1.0,,,1.0
201,8a1106ab1c2ffff,3860.0,529.0,,,,,,,,,,,,,2.0,1.0,1.0,,,,,2.0,,
202,8a1106ab1d9ffff,10166.0,571.0,,,1.0,2.0,2.0,3.0,,7.0,2.0,3.0,3.0,,1.0,2.0,6.0,,2.0,,,2.0,,
203,8a1106ab20e7fff,7926.166666666666,,,,,,1.0,1.0,,10.0,,,,,2.0,,1.0,,1.0,,,,,
204,8a1106ab3527fff,10094.166666666666,,,,,,,2.0,,,,,,,,2.0,,,,,1.0,,,
205,8a1106ab382ffff,1319.8333333333333,1004.0,,,,2.0,,2.0,,1.0,,,,,,1.0,1.0,,,,,4.0,,
206,8a1106ab3987fff,10309.083333333332,,,,1.0,,,3.0,2.0,45.0,,7.0,,,1.0,4.0,1.0,,,2.0,,,,1.0
207,8a1106ab3cdffff,4169.333333333334,,,,1.0,,,3.0,,27.0,,2.0,,,,2.0,,,,,,,,
208,8a1106ab44d7fff,1164.3166666666666,1193.0,,,,,,,,,,,,,,,,,,,,,,
209,8a1106ab5727fff,7628.333333333334,,,,1.0,,,5.0,3.0,3.0,,4.0,1.0,,,1.0,,,,2.0,1.0,,,
210,8a1106ab618ffff,10523.666666666666,,,,,2.0,2.0,,,3.0,,,,,,6.0,1.0,,,,,2.0,,
211,8a1106ab67a7fff,2535.833333333333,,,,,,,,,,,,,,,,,,,,,,,
212,8a1106ab6807fff,11759.75,,,,,,1.0,6.0,,19.0,,4.0,,,4.0,4.0,,,,4.0,,2.0,1.0,
